pipe,start,fixed,abrupt,area,cluster,latent
p257,2018-01-08 13:30:00,2019-12-31 23:55:00,FALSE,C,C,TRUE
p461,2018-01-23 04:25:00,2018-04-02 11:40:00,FALSE,A,A1,FALSE
p232,2018-01-31 02:35:00,2018-02-10 09:20:00,FALSE,A,A1,FALSE
p427,2018-02-13 08:25:00,2019-12-31 23:55:00,FALSE,A,A2,TRUE
p673,2018-03-05 15:45:00,2018-03-23 10:25:00,TRUE,B,B,FALSE
p628,2018-05-02 14:55:00,2018-05-29 21:20:00,FALSE,A,A1,FALSE
p538,2018-05-18 08:35:00,2018-06-02 06:05:00,TRUE,A,A1,FALSE
p866,2018-06-01 09:05:00,2018-06-12 03:00:00,TRUE,A,A3,FALSE
p31,2018-06-28 10:35:00,2018-08-12 17:30:00,FALSE,C,C,FALSE
p654,2018-07-05 03:40:00,2019-12-31 23:55:00,FALSE,A,A1,TRUE
p810,2018-07-28 03:05:00,2019-12-31 23:55:00,FALSE,A,A3,TRUE
p183,2018-08-07 02:35:00,2018-09-01 17:10:00,TRUE,A,A3,FALSE
p158,2018-10-06 02:35:00,2018-10-23 13:35:00,TRUE,A,A3,FALSE
p369,2018-10-26 02:05:00,2018-11-08 20:25:00,TRUE,A,A2,FALSE
p523,2019-01-15 23:00:00,2019-02-01 09:50:00,TRUE,A,A1,FALSE
p827,2019-01-24 18:30:00,2019-02-07 09:05:00,TRUE,A,A3,FALSE
p280,2019-02-10 13:05:00,2019-12-31 23:55:00,TRUE,C,C,TRUE
p653,2019-03-03 13:10:00,2019-05-05 12:10:00,FALSE,A,A1,FALSE
p710,2019-03-24 14:15:00,2019-12-31 23:55:00,TRUE,A,A3,TRUE
p514,2019-04-02 20:40:00,2019-05-23 14:55:00,TRUE,A,A1,FALSE
p331,2019-04-20 10:10:00,2019-12-31 23:55:00,TRUE,A,A2,TRUE
p193,2019-05-19 10:40:00,2019-12-31 23:55:00,FALSE,A,A3,TRUE
p277,2019-05-30 21:55:00,2019-12-31 23:55:00,FALSE,C,C,TRUE
p142,2019-06-12 19:55:00,2019-07-17 09:25:00,TRUE,A,A1,FALSE
p680,2019-07-10 08:45:00,2019-12-31 23:55:00,TRUE,B,B,TRUE
p586,2019-07-26 14:40:00,2019-09-16 03:20:00,FALSE,A,A1,FALSE
p721,2019-08-02 03:00:00,2019-12-31 23:55:00,FALSE,A,A3,TRUE
p800,2019-08-16 14:00:00,2019-10-01 16:35:00,FALSE,A,A3,FALSE
p123,2019-09-13 20:05:00,2019-12-31 23:55:00,FALSE,A,A1,TRUE
p455,2019-10-03 14:00:00,2019-12-31 23:55:00,FALSE,A,A1,TRUE
p762,2019-10-09 10:15:00,2019-12-31 23:55:00,FALSE,A,A3,TRUE
p426,2019-10-25 13:25:00,2019-12-31 23:55:00,TRUE,A,A2,TRUE
p879,2019-11-20 11:55:00,2019-12-31 23:55:00,FALSE,A,A3,TRUE
