Name,Type,Area
n1,pressure,C
n4,pressure,C
n31,pressure,C
n54,pressure,A
n105,pressure,A
n114,pressure,A
n163,pressure,A
n188,pressure,A
n215,pressure,B
n229,pressure,A
n288,pressure,A
n296,pressure,A
n332,pressure,A
n342,pressure,A
n410,pressure,A
n415,pressure,A
n429,pressure,A
n458,pressure,A
n469,pressure,A
n495,pressure,A
n506,pressure,A
n516,pressure,A
n519,pressure,A
n549,pressure,A
n613,pressure,A
n636,pressure,A
n644,pressure,A
n679,pressure,A
n722,pressure,A
n726,pressure,A
n740,pressure,A
n752,pressure,A
n769,pressure,A
p227,flow,A
p235,flow,A
PUMP_1,flow,-
T1,level,A
T1,level,C
